"","GeneID","Chr","n.866","n.942","n.900","n.IXa","meanDiv","StDev"
"68","CTYZ_00003680","Ctyz_1",1,1,NA,2,1.33,0.58
"69","CTYZ_00003682","Ctyz_1",2,3,2,2,2.25,0.5
"70","CTYZ_00003684","Ctyz_1",5,3,2,4,3.5,1.29
"71","CTYZ_00003686","Ctyz_1",1,1,5,2,2.25,1.89
"72","CTYZ_00003687","Ctyz_1",2,1,NA,NA,1.5,0.71
"73","CTYZ_00003688","Ctyz_1",1,1,1,2,1.25,0.5
"74","CTYZ_00003689","Ctyz_1",1,2,NA,1,1.33,0.58
"75","CTYZ_00003691","Ctyz_1",2,NA,NA,1,1.5,0.71
"76","CTYZ_00003692","Ctyz_1",4,7,5,7,5.75,1.5
"77","CTYZ_00003693","Ctyz_1",2,1,NA,NA,1.5,0.71
"78","CTYZ_00003696","Ctyz_1",1,2,2,4,2.25,1.26
"79","CTYZ_00003699","Ctyz_1",5,2,1,2,2.5,1.73
"80","CTYZ_00003703","Ctyz_1",3,3,1,2,2.25,0.96
"81","CTYZ_00003704","Ctyz_1",1,1,1,1,1,0
"82","CTYZ_00003705","Ctyz_1",4,1,NA,NA,2.5,2.12
"83","CTYZ_00003706","Ctyz_1",2,1,NA,1,1.33,0.58
"84","CTYZ_00003707","Ctyz_1",1,2,NA,1,1.33,0.58
"85","CTYZ_00003708","Ctyz_1",1,3,1,NA,1.67,1.15
"86","CTYZ_00003710","Ctyz_1",1,2,NA,1,1.33,0.58
"87","CTYZ_00003711","Ctyz_1",2,2,1,1,1.5,0.58
"88","CTYZ_00003712","Ctyz_1",6,6,4,7,5.75,1.26
"89","CTYZ_00003716","Ctyz_1",1,1,NA,NA,1,0
"90","CTYZ_00003717","Ctyz_1",2,5,2,4,3.25,1.5
"91","CTYZ_00003721","Ctyz_1",1,4,1,1,1.75,1.5
"92","CTYZ_00003724","Ctyz_1",1,1,NA,1,1,0
"93","CTYZ_00003725","Ctyz_1",1,NA,NA,NA,1,NA
"94","CTYZ_00003726","Ctyz_1",1,1,NA,2,1.33,0.58
"95","CTYZ_00003727","Ctyz_1",2,1,NA,3,2,1
"96","CTYZ_00003728","Ctyz_1",2,3,NA,2,2.33,0.58
"97","CTYZ_00003729","Ctyz_1",2,6,1,4,3.25,2.22
"98","CTYZ_00003730","Ctyz_1",2,4,NA,2,2.67,1.15
"99","CTYZ_00003731","Ctyz_1",3,NA,1,3,2.33,1.15
"100","CTYZ_00003732","Ctyz_1",1,4,2,1,2,1.41
"101","CTYZ_00003733","Ctyz_1",1,3,NA,2,2,1
"102","CTYZ_00003735","Ctyz_1",1,2,1,NA,1.33,0.58
"103","CTYZ_00003738","Ctyz_1",10,22,9,11,13,6.06
"104","CTYZ_00003740","Ctyz_1",2,2,1,1,1.5,0.58
"105","CTYZ_00003742","Ctyz_1",1,NA,NA,2,1.5,0.71
"106","CTYZ_00003743","Ctyz_1",1,3,9,NA,4.33,4.16
"107","CTYZ_00003744","Ctyz_1",6,5,2,3,4,1.83
"108","CTYZ_00003750","Ctyz_1",2,NA,NA,NA,2,NA
"109","CTYZ_00003751","Ctyz_1",5,8,4,2,4.75,2.5
"110","CTYZ_00003755","Ctyz_1",2,2,1,1,1.5,0.58
"111","CTYZ_00003756","Ctyz_1",2,3,1,2,2,0.82
"112","CTYZ_00003759","Ctyz_1",1,3,NA,2,2,1
"113","CTYZ_00003761","Ctyz_1",1,NA,NA,NA,1,NA
"114","CTYZ_00003762","Ctyz_1",1,NA,1,1,1,0
"115","CTYZ_00003767","Ctyz_1",2,2,2,2,2,0
"116","CTYZ_00003771","Ctyz_1",4,2,1,2,2.25,1.26
"117","CTYZ_00003773","Ctyz_1",1,3,3,2,2.25,0.96
"118","CTYZ_00003777","Ctyz_1",2,1,NA,2,1.67,0.58
"119","CTYZ_00003779","Ctyz_1",7,7,6,7,6.75,0.5
"120","CTYZ_00003783","Ctyz_1",1,NA,NA,1,1,0
"121","CTYZ_00003785","Ctyz_1",1,NA,NA,1,1,0
"122","CTYZ_00003788","Ctyz_1",4,1,NA,2,2.33,1.53
"123","CTYZ_00003790","Ctyz_1",2,1,NA,2,1.67,0.58
"124","CTYZ_00003791","Ctyz_1",2,NA,NA,NA,2,NA
"125","CTYZ_00003794","Ctyz_1",1,1,1,1,1,0
"126","CTYZ_00003796","Ctyz_1",1,NA,1,1,1,0
"127","CTYZ_00003797","Ctyz_1",1,1,1,2,1.25,0.5
"128","CTYZ_00003798","Ctyz_1",2,1,1,3,1.75,0.96
"129","CTYZ_00003799","Ctyz_1",1,2,1,1,1.25,0.5
"130","CTYZ_00003800","Ctyz_1",9,NA,NA,1,5,5.66
"131","CTYZ_00003801","Ctyz_1",2,1,NA,2,1.67,0.58
"132","CTYZ_00003803","Ctyz_1",1,1,NA,2,1.33,0.58
"133","CTYZ_00003804","Ctyz_1",2,2,1,2,1.75,0.5
"134","CTYZ_00003805","Ctyz_1",6,2,1,5,3.5,2.38
"135","CTYZ_00003808","Ctyz_1",1,NA,NA,NA,1,NA
"136","CTYZ_00003810","Ctyz_1",1,2,1,1,1.25,0.5
"137","CTYZ_00003813","Ctyz_1",2,NA,NA,2,2,0
"138","CTYZ_00003818","Ctyz_1",5,4,NA,5,4.67,0.58
"139","CTYZ_00003820","Ctyz_1",4,4,3,2,3.25,0.96
"140","CTYZ_00003821","Ctyz_1",2,NA,NA,NA,2,NA
"141","CTYZ_00003823","Ctyz_1",2,1,NA,1,1.33,0.58
"142","CTYZ_00003824","Ctyz_1",1,NA,NA,NA,1,NA
"143","CTYZ_00003825","Ctyz_1",1,NA,NA,NA,1,NA
"144","CTYZ_00003826","Ctyz_1",1,NA,NA,1,1,0
"145","CTYZ_00003828","Ctyz_1",5,2,3,4,3.5,1.29
"146","CTYZ_00003829","Ctyz_1",1,1,NA,NA,1,0
"147","CTYZ_00003831","Ctyz_1",2,1,1,2,1.5,0.58
"148","CTYZ_00003834","Ctyz_1",1,1,NA,1,1,0
"149","CTYZ_00003837","Ctyz_1",1,NA,NA,NA,1,NA
"150","CTYZ_00003838","Ctyz_1",1,1,NA,1,1,0
"151","CTYZ_00003840","Ctyz_1",9,NA,NA,2,5.5,4.95
"152","CTYZ_00003841","Ctyz_1",1,NA,NA,NA,1,NA
"153","CTYZ_00003842","Ctyz_1",2,1,NA,1,1.33,0.58
"154","CTYZ_00003843","Ctyz_1",5,1,NA,1,2.33,2.31
"155","CTYZ_00003844","Ctyz_1",3,2,1,1,1.75,0.96
"156","CTYZ_00003845","Ctyz_1",4,3,NA,5,4,1
"157","CTYZ_00003846","Ctyz_1",1,1,NA,NA,1,0
"158","CTYZ_00003847","Ctyz_1",3,9,2,4,4.5,3.11
"159","CTYZ_00003850","Ctyz_1",2,2,NA,NA,2,0
"160","CTYZ_00003851","Ctyz_1",4,7,NA,3,4.67,2.08
"161","CTYZ_00003855","Ctyz_1",1,1,NA,1,1,0
"162","CTYZ_00003856","Ctyz_1",2,4,3,5,3.5,1.29
"163","CTYZ_00003859","Ctyz_1",1,2,NA,NA,1.5,0.71
"164","CTYZ_00003860","Ctyz_1",1,NA,NA,1,1,0
"165","CTYZ_00003861","Ctyz_1",1,2,NA,1,1.33,0.58
"166","CTYZ_00003863","Ctyz_1",1,1,NA,NA,1,0
"167","CTYZ_00003864","Ctyz_1",1,2,NA,2,1.67,0.58
"168","CTYZ_00003866","Ctyz_1",3,6,NA,4,4.33,1.53
"169","CTYZ_00003867","Ctyz_1",2,3,1,4,2.5,1.29
"170","CTYZ_00003868","Ctyz_1",1,2,2,NA,1.67,0.58
"171","CTYZ_00003870","Ctyz_1",1,1,NA,1,1,0
"172","CTYZ_00003871","Ctyz_1",3,NA,NA,1,2,1.41
"173","CTYZ_00003873","Ctyz_1",1,1,NA,1,1,0
"174","CTYZ_00003874","Ctyz_1",1,1,1,2,1.25,0.5
"175","CTYZ_00003875","Ctyz_1",4,1,NA,NA,2.5,2.12
"176","CTYZ_00003876","Ctyz_1",3,3,2,3,2.75,0.5
"177","CTYZ_00003877","Ctyz_1",4,2,NA,2,2.67,1.15
"178","CTYZ_00003879","Ctyz_1",3,2,NA,2,2.33,0.58
"179","CTYZ_00003881","Ctyz_1",1,3,2,NA,2,1
"180","CTYZ_00003882","Ctyz_1",1,2,1,3,1.75,0.96
"181","CTYZ_00003885","Ctyz_1",2,3,1,2,2,0.82
"182","CTYZ_00003886","Ctyz_1",1,1,NA,NA,1,0
"183","CTYZ_00003887","Ctyz_1",3,2,1,3,2.25,0.96
"184","CTYZ_00003888","Ctyz_1",8,1,NA,2,3.67,3.79
"185","CTYZ_00003890","Ctyz_1",1,NA,NA,1,1,0
"186","CTYZ_00003892","Ctyz_1",1,NA,NA,NA,1,NA
"187","CTYZ_00003893","Ctyz_1",3,1,1,2,1.75,0.96
"188","CTYZ_00003894","Ctyz_1",1,NA,1,1,1,0
"189","CTYZ_00003895","Ctyz_1",1,3,NA,1,1.67,1.15
"190","CTYZ_00003900","Ctyz_1",9,12,10,20,12.75,4.99
"191","CTYZ_00003902","Ctyz_1",4,2,NA,4,3.33,1.15
"192","CTYZ_00003905","Ctyz_1",2,NA,1,1,1.33,0.58
"193","CTYZ_00003906","Ctyz_1",4,4,2,3,3.25,0.96
"194","CTYZ_00003907","Ctyz_1",2,5,1,1,2.25,1.89
"195","CTYZ_00003909","Ctyz_1",2,2,1,3,2,0.82
"196","CTYZ_00003910","Ctyz_1",1,7,2,3,3.25,2.63
"197","CTYZ_00003911","Ctyz_1",1,5,1,3,2.5,1.91
"198","CTYZ_00003912","Ctyz_1",3,5,4,10,5.5,3.11
"199","CTYZ_00003913","Ctyz_1",1,3,1,1,1.5,1
"200","CTYZ_00003914","Ctyz_1",1,NA,NA,1,1,0
"201","CTYZ_00003916","Ctyz_1",2,2,2,4,2.5,1
"202","CTYZ_00003917","Ctyz_1",1,1,1,1,1,0
"203","CTYZ_00003918","Ctyz_1",6,3,2,5,4,1.83
"204","CTYZ_00003919","Ctyz_1",9,12,2,10,8.25,4.35
"205","CTYZ_00003921","Ctyz_1",3,4,2,5,3.5,1.29
"206","CTYZ_00003924","Ctyz_1",1,2,NA,3,2,1
"207","CTYZ_00003925","Ctyz_1",4,13,6,10,8.25,4.03
"208","CTYZ_00003926","Ctyz_1",1,2,NA,NA,1.5,0.71
"209","CTYZ_00003929","Ctyz_1",1,NA,NA,1,1,0
"210","CTYZ_00003932","Ctyz_1",1,3,6,NA,3.33,2.52
"211","CTYZ_00003933","Ctyz_1",1,2,NA,1,1.33,0.58
"212","CTYZ_00003935","Ctyz_1",1,3,1,1,1.5,1
"213","CTYZ_00003936","Ctyz_1",6,2,NA,9,5.67,3.51
"214","CTYZ_00003938","Ctyz_1",4,4,1,2,2.75,1.5
"215","CTYZ_00003941","Ctyz_1",2,5,1,1,2.25,1.89
"216","CTYZ_00003942","Ctyz_1",2,3,NA,1,2,1
"217","CTYZ_00003944","Ctyz_1",1,4,NA,3,2.67,1.53
"218","CTYZ_00003946","Ctyz_1",1,1,NA,1,1,0
"219","CTYZ_00003947","Ctyz_1",2,3,NA,2,2.33,0.58
"220","CTYZ_00003948","Ctyz_1",1,NA,NA,NA,1,NA
"221","CTYZ_00003950","Ctyz_1",5,4,NA,4,4.33,0.58
"222","CTYZ_00003951","Ctyz_1",1,1,1,NA,1,0
"223","CTYZ_00003952","Ctyz_1",1,1,1,7,2.5,3
"224","CTYZ_00003953","Ctyz_1",1,1,NA,NA,1,0
"225","CTYZ_00003954","Ctyz_1",1,1,NA,1,1,0
"226","CTYZ_00003956","Ctyz_1",8,NA,NA,NA,8,NA
"227","CTYZ_00003957","Ctyz_1",5,6,1,5,4.25,2.22
"228","CTYZ_00003958","Ctyz_1",3,4,2,2,2.75,0.96
"229","CTYZ_00003959","Ctyz_1",1,2,NA,4,2.33,1.53
"230","CTYZ_00003961","Ctyz_1",3,1,3,3,2.5,1
"231","CTYZ_00003962","Ctyz_1",2,3,NA,3,2.67,0.58
"232","CTYZ_00003963","Ctyz_1",1,2,2,6,2.75,2.22
"233","CTYZ_00003965","Ctyz_1",9,6,3,8,6.5,2.65
"234","CTYZ_00003966","Ctyz_1",3,2,NA,4,3,1
"235","CTYZ_00003967","Ctyz_1",7,11,2,8,7,3.74
"236","CTYZ_00003969","Ctyz_1",1,2,1,1,1.25,0.5
"237","CTYZ_00003970","Ctyz_1",1,1,NA,2,1.33,0.58
"238","CTYZ_00003972","Ctyz_1",3,3,1,7,3.5,2.52
"239","CTYZ_00003973","Ctyz_1",1,1,NA,1,1,0
"240","CTYZ_00003974","Ctyz_1",3,9,4,5,5.25,2.63
"241","CTYZ_00003975","Ctyz_1",1,NA,NA,1,1,0
"242","CTYZ_00003976","Ctyz_1",2,54,20,4,20,24.06
"243","CTYZ_00003977","Ctyz_1",59,26,5,62,38,27.39
"244","CTYZ_00003978","Ctyz_1",1,NA,NA,1,1,0
"245","CTYZ_00003979","Ctyz_1",41,22,88,37,47,28.53
"246","CTYZ_00003980","Ctyz_1",6,4,NA,3,4.33,1.53
"247","CTYZ_00003981","Ctyz_1",2,2,NA,2,2,0
"248","CTYZ_00003982","Ctyz_1",2,2,NA,1,1.67,0.58
"249","CTYZ_00003983","Ctyz_1",21,55,4,23,25.75,21.28
"250","CTYZ_00003984","Ctyz_1",3,1,1,2,1.75,0.96
"251","CTYZ_00002240","Ctyz_2",13,3,12,2,7.5,5.8
"252","CTYZ_00002242","Ctyz_2",2,1,1,NA,1.33,0.58
"253","CTYZ_00002243","Ctyz_2",1,2,NA,1,1.33,0.58
"254","CTYZ_00002244","Ctyz_2",4,5,NA,3,4,1
"255","CTYZ_00002245","Ctyz_2",2,3,2,2,2.25,0.5
"256","CTYZ_00002246","Ctyz_2",1,7,4,4,4,2.45
"257","CTYZ_00002247","Ctyz_2",3,7,2,2,3.5,2.38
"258","CTYZ_00002249","Ctyz_2",2,2,NA,1,1.67,0.58
"259","CTYZ_00002251","Ctyz_2",1,1,1,NA,1,0
"260","CTYZ_00002253","Ctyz_2",2,2,1,1,1.5,0.58
"261","CTYZ_00002256","Ctyz_2",1,2,NA,NA,1.5,0.71
"262","CTYZ_00002258","Ctyz_2",2,3,NA,1,2,1
"263","CTYZ_00002259","Ctyz_2",1,NA,NA,1,1,0
"264","CTYZ_00002261","Ctyz_2",5,5,5,6,5.25,0.5
"265","CTYZ_00002267","Ctyz_2",2,2,NA,2,2,0
"266","CTYZ_00002268","Ctyz_2",4,3,2,4,3.25,0.96
"267","CTYZ_00002269","Ctyz_2",1,2,NA,1,1.33,0.58
"268","CTYZ_00002271","Ctyz_2",2,1,NA,2,1.67,0.58
"269","CTYZ_00002272","Ctyz_2",3,4,2,3,3,0.82
"270","CTYZ_00002276","Ctyz_2",1,4,1,1,1.75,1.5
"271","CTYZ_00002277","Ctyz_2",7,9,3,9,7,2.83
"272","CTYZ_00002278","Ctyz_2",5,1,NA,3,3,2
"273","CTYZ_00002280","Ctyz_2",1,10,NA,5,5.33,4.51
"274","CTYZ_00002281","Ctyz_2",1,2,1,2,1.5,0.58
"275","CTYZ_00002282","Ctyz_2",2,NA,NA,2,2,0
"276","CTYZ_00002285","Ctyz_2",3,5,2,20,7.5,8.43
"277","CTYZ_00002286","Ctyz_2",1,3,1,2,1.75,0.96
"278","CTYZ_00002287","Ctyz_2",6,1,NA,5,4,2.65
"279","CTYZ_00002288","Ctyz_2",1,1,1,2,1.25,0.5
"280","CTYZ_00002292","Ctyz_2",3,2,NA,5,3.33,1.53
"281","CTYZ_00002294","Ctyz_2",7,5,2,10,6,3.37
"282","CTYZ_00002295","Ctyz_2",1,1,1,NA,1,0
"283","CTYZ_00002296","Ctyz_2",3,8,4,6,5.25,2.22
"284","CTYZ_00002297","Ctyz_2",1,1,NA,1,1,0
"285","CTYZ_00002298","Ctyz_2",1,2,1,NA,1.33,0.58
"286","CTYZ_00002301","Ctyz_2",1,1,NA,NA,1,0
"287","CTYZ_00002302","Ctyz_2",2,2,1,2,1.75,0.5
"288","CTYZ_00002303","Ctyz_2",4,1,NA,5,3.33,2.08
"289","CTYZ_00002304","Ctyz_2",1,1,1,2,1.25,0.5
"290","CTYZ_00002305","Ctyz_2",1,3,1,2,1.75,0.96
"291","CTYZ_00002306","Ctyz_2",13,11,3,14,10.25,4.99
"292","CTYZ_00002307","Ctyz_2",7,11,3,12,8.25,4.11
"293","CTYZ_00002309","Ctyz_2",10,6,1,7,6,3.74
"294","CTYZ_00002310","Ctyz_2",11,NA,NA,1,6,7.07
"295","CTYZ_00002312","Ctyz_2",2,2,1,NA,1.67,0.58
"296","CTYZ_00002314","Ctyz_2",1,1,NA,3,1.67,1.15
"297","CTYZ_00002315","Ctyz_2",2,3,NA,2,2.33,0.58
"298","CTYZ_00002316","Ctyz_2",3,2,NA,2,2.33,0.58
"299","CTYZ_00002317","Ctyz_2",1,2,NA,1,1.33,0.58
"300","CTYZ_00002319","Ctyz_2",2,2,2,3,2.25,0.5
"301","CTYZ_00002320","Ctyz_2",1,2,2,1,1.5,0.58
"302","CTYZ_00002324","Ctyz_2",1,1,NA,NA,1,0
"303","CTYZ_00002326","Ctyz_2",1,1,NA,1,1,0
"304","CTYZ_00002328","Ctyz_2",1,1,1,1,1,0
"305","CTYZ_00002330","Ctyz_2",1,1,NA,2,1.33,0.58
"306","CTYZ_00002331","Ctyz_2",1,1,NA,1,1,0
"307","CTYZ_00002332","Ctyz_2",3,2,1,3,2.25,0.96
"308","CTYZ_00002333","Ctyz_2",1,NA,NA,NA,1,NA
"309","CTYZ_00002334","Ctyz_2",6,1,1,3,2.75,2.36
"310","CTYZ_00002335","Ctyz_2",2,4,1,2,2.25,1.26
"311","CTYZ_00002336","Ctyz_2",3,1,1,2,1.75,0.96
"312","CTYZ_00002337","Ctyz_2",2,4,NA,5,3.67,1.53
"313","CTYZ_00002338","Ctyz_2",12,4,NA,2,6,5.29
"314","CTYZ_00002340","Ctyz_2",3,4,2,1,2.5,1.29
"315","CTYZ_00002342","Ctyz_2",2,NA,NA,NA,2,NA
"316","CTYZ_00002343","Ctyz_2",2,1,NA,2,1.67,0.58
"317","CTYZ_00002345","Ctyz_2",1,2,NA,2,1.67,0.58
"318","CTYZ_00002346","Ctyz_2",1,1,NA,2,1.33,0.58
"319","CTYZ_00002347","Ctyz_2",6,1,2,1,2.5,2.38
"320","CTYZ_00002349","Ctyz_2",1,2,2,2,1.75,0.5
"321","CTYZ_00002350","Ctyz_2",3,1,NA,1,1.67,1.15
"322","CTYZ_00002351","Ctyz_2",4,3,2,2,2.75,0.96
"323","CTYZ_00002353","Ctyz_2",3,2,2,3,2.5,0.58
"324","CTYZ_00002354","Ctyz_2",3,3,NA,2,2.67,0.58
"325","CTYZ_00002358","Ctyz_2",2,1,NA,2,1.67,0.58
"326","CTYZ_00002360","Ctyz_2",1,NA,NA,NA,1,NA
"327","CTYZ_00002361","Ctyz_2",2,NA,NA,1,1.5,0.71
"328","CTYZ_00002362","Ctyz_2",1,1,NA,2,1.33,0.58
"329","CTYZ_00002363","Ctyz_2",1,6,2,1,2.5,2.38
"330","CTYZ_00002364","Ctyz_2",3,NA,1,NA,2,1.41
"331","CTYZ_00002365","Ctyz_2",1,2,1,2,1.5,0.58
"332","CTYZ_00002366","Ctyz_2",3,1,1,1,1.5,1
"333","CTYZ_00002367","Ctyz_2",1,1,NA,2,1.33,0.58
"334","CTYZ_00002368","Ctyz_2",1,1,1,NA,1,0
"335","CTYZ_00002369","Ctyz_2",3,4,1,2,2.5,1.29
"336","CTYZ_00002370","Ctyz_2",3,3,1,NA,2.33,1.15
"337","CTYZ_00002371","Ctyz_2",2,2,NA,2,2,0
"338","CTYZ_00002375","Ctyz_2",1,NA,NA,NA,1,NA
"339","CTYZ_00002377","Ctyz_2",4,2,NA,2,2.67,1.15
"340","CTYZ_00002378","Ctyz_2",2,2,2,2,2,0
"341","CTYZ_00002380","Ctyz_2",4,1,NA,4,3,1.73
"342","CTYZ_00002382","Ctyz_2",2,4,2,18,6.5,7.72
"343","CTYZ_00002383","Ctyz_2",1,1,1,2,1.25,0.5
"344","CTYZ_00002385","Ctyz_2",1,1,NA,1,1,0
"345","CTYZ_00002386","Ctyz_2",1,3,NA,1,1.67,1.15
"346","CTYZ_00002390","Ctyz_2",2,2,1,2,1.75,0.5
"347","CTYZ_00002391","Ctyz_2",2,1,2,2,1.75,0.5
"348","CTYZ_00002392","Ctyz_2",1,1,NA,NA,1,0
"349","CTYZ_00002400","Ctyz_2",2,2,NA,2,2,0
"350","CTYZ_00002402","Ctyz_2",2,1,NA,NA,1.5,0.71
"351","CTYZ_00002403","Ctyz_2",1,2,2,2,1.75,0.5
"352","CTYZ_00002405","Ctyz_2",1,1,NA,1,1,0
"353","CTYZ_00002406","Ctyz_2",1,NA,NA,NA,1,NA
"354","CTYZ_00002410","Ctyz_2",1,1,NA,1,1,0
"355","CTYZ_00002411","Ctyz_2",3,4,3,3,3.25,0.5
"356","CTYZ_00002413","Ctyz_2",3,3,1,3,2.5,1
"357","CTYZ_00002414","Ctyz_2",1,1,NA,1,1,0
"358","CTYZ_00002415","Ctyz_2",1,1,1,NA,1,0
"359","CTYZ_00002417","Ctyz_2",1,3,NA,NA,2,1.41
"360","CTYZ_00002418","Ctyz_2",1,3,1,1,1.5,1
"361","CTYZ_00002420","Ctyz_2",1,1,1,1,1,0
"362","CTYZ_00002421","Ctyz_2",2,1,1,2,1.5,0.58
"363","CTYZ_00002423","Ctyz_2",2,2,1,1,1.5,0.58
"364","CTYZ_00002427","Ctyz_2",5,5,4,5,4.75,0.5
"365","CTYZ_00002430","Ctyz_2",3,2,1,2,2,0.82
"366","CTYZ_00002432","Ctyz_2",2,NA,1,1,1.33,0.58
"367","CTYZ_00002433","Ctyz_2",3,NA,NA,1,2,1.41
"368","CTYZ_00002435","Ctyz_2",1,NA,NA,NA,1,NA
"369","CTYZ_00002436","Ctyz_2",1,4,3,2,2.5,1.29
"370","CTYZ_00002446","Ctyz_2",1,1,NA,NA,1,0
"371","CTYZ_00002449","Ctyz_2",1,1,1,1,1,0
"372","CTYZ_00002450","Ctyz_2",1,1,NA,NA,1,0
"373","CTYZ_00002451","Ctyz_2",2,3,3,1,2.25,0.96
"374","CTYZ_00002453","Ctyz_2",1,10,1,1,3.25,4.5
"375","CTYZ_00002454","Ctyz_2",2,6,1,3,3,2.16
"376","CTYZ_00002458","Ctyz_2",4,5,1,2,3,1.83
"377","CTYZ_00002459","Ctyz_2",3,9,3,3,4.5,3
"378","CTYZ_00002462","Ctyz_2",3,1,NA,NA,2,1.41
"379","CTYZ_00002464","Ctyz_2",1,3,1,1,1.5,1
"380","CTYZ_00002466","Ctyz_2",1,2,NA,2,1.67,0.58
"381","CTYZ_00002474","Ctyz_2",2,2,1,2,1.75,0.5
