"","GeneID","Chr","FeatureType","Product","meanDiversity","StDev","ChangesSum.866","ChangesSum.942","ChangesSum.900","ChangesSum.IXa","SNPs.866","SNPs.942","SNPs.900","SNPs.IXa","AmSNPs.866","AmSNPs.942","AmSNPs.900","AmSNPs.IXa","INS.866","INS.942","INS.900","INS.IXa","DEL.866","DEL.942","DEL.900","DEL.IXa"
"44","CTYZ_00000052","Ctyz_8","CDS","Histone[space]deacetylase",2.33,0.58,2,3,NA,2,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CTYZ_00000053","Ctyz_8","CDS","Centriolar[space]protein[space]SAS[space]N-terminal-containing[space]protein",3.67,1.15,5,3,NA,3,5,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CTYZ_00000055","Ctyz_8","CDS",NA,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"47","CTYZ_00000056","Ctyz_8","CDS","Pus1p-like[space]type[space]II[space]pseudousynthas[space]TruA",3,1.41,3,4,1,4,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"48","CTYZ_00000057","Ctyz_8","CDS","Uncharacterized[space]Protein",13,9.49,7,14,5,26,7,13,5,26,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"49","CTYZ_00000058","Ctyz_8","CDS","EF-hand[space]domain[space]containing[space]protein",1,0,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","CTYZ_00000060","Ctyz_8","CDS","Thrombospondin[space]type-1[space](TSP1)[space]repeat[space]containing[space]protein",2.25,1.26,1,2,2,4,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","CTYZ_00000061","Ctyz_8","CDS","Uncharacterized[space]protein",13.25,6.65,13,19,4,17,11,18,4,15,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,1
"52","CTYZ_00000062","Ctyz_8","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","CTYZ_00000063","Ctyz_8","CDS","Proteasome[space]regulatory[space]complex[space]Rpn1[space]subunit",2.75,0.96,2,4,2,3,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CTYZ_00000064","Ctyz_8","CDS","Ubiquitin-conjugating[space]enzyme[space]E2",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","CTYZ_00000065","Ctyz_8","CDS","alpha/beta[space]hydrolase[space]fold-containing[space]protein",2.33,0.58,2,2,NA,3,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","CTYZ_00000066","Ctyz_8","CDS","Serine[space]aminopeptidase[comma][space]S33",7.25,11.84,1,2,1,25,1,2,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","CTYZ_00000067","Ctyz_8","CDS","AAA-type[space]ATPase",1.75,0.5,2,2,1,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","CTYZ_00000068","Ctyz_8","CDS",NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","CTYZ_00000069","Ctyz_8","CDS","26S[space]proteasome[space]non-ATPase[space]regulatory[space]subunit[space]5",3,1.41,2,5,2,3,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","CTYZ_00000070","Ctyz_8","CDS","WD40-repeat-containing[space]protein",19,19.97,46,6,2,22,43,5,2,20,NA,NA,NA,NA,3,1,NA,2,NA,NA,NA,NA
"61","CTYZ_00000071","Ctyz_8","CDS","60S[space]ribosomal[space]protein[space]L23A",6,4.08,3,10,2,9,2,9,2,7,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1
"62","CTYZ_00000072","Ctyz_8","CDS","Uncharacterized[space]protein",6.25,6.18,3,6,1,15,3,6,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","CTYZ_00000073","Ctyz_8","CDS","Uncharacterized[space]protein",11.5,13.08,1,16,1,28,NA,12,NA,27,NA,NA,NA,NA,1,4,1,1,NA,NA,NA,NA
"64","CTYZ_00000074","Ctyz_8","CDS","Uncharacterized[space]protein",14,1,13,15,NA,14,11,12,NA,13,NA,NA,NA,NA,NA,1,NA,1,2,2,NA,NA
"65","CTYZ_00000075","Ctyz_8","CDS","Uncharacterized[space]protein",1,0,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA
"66","CTYZ_00000076","Ctyz_8","CDS","putative[space]Secreted[space]Protein",6,3.27,6,6,2,10,6,5,2,8,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA
"67","CTYZ_00000077","Ctyz_8","CDS","putative[space]Secreted[space]Protein",9,5.66,13,5,NA,NA,12,4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"68","CTYZ_00000078","Ctyz_8","CDS","putative[space]Secreted[space]Protein",5.5,3.7,4,9,1,8,1,7,1,7,NA,NA,NA,NA,1,1,NA,NA,2,1,NA,1
"69","CTYZ_00000079","Ctyz_8","CDS","Myosin[space]motor[space]domain[space]containing[space]protein",16.25,7.93,14,27,8,16,13,27,8,15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
"70","CTYZ_00000080","Ctyz_8","CDS",NA,1,0,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","CTYZ_00000082","Ctyz_8","CDS",NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"72","CTYZ_00000083","Ctyz_8","CDS","Prefoldin[space]like[space]molecular[space]chaperone",3,1,2,4,NA,3,2,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","CTYZ_00000084","Ctyz_8","CDS",NA,4,1.41,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CTYZ_00000085","Ctyz_8","CDS","putative[space]transmembrane[space]Protein",1.5,1,1,3,1,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","CTYZ_00000086","Ctyz_8","CDS","Uncharacterized[space]protein",2.25,0.5,2,3,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","CTYZ_00000087","Ctyz_8","CDS",NA,1,0,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","CTYZ_00000088","Ctyz_8","CDS","Glutamyl-tRNA[space]synthetase",1.5,0.58,2,2,1,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"78","CTYZ_00000089","Ctyz_8","CDS","Prp5p[space]C[space]terminal[space]KH[space]eIF4A-1-family[space]RNA[space]SFII[space]helicase",2.25,1.89,1,2,1,5,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"79","CTYZ_00000090","Ctyz_8","CDS","AP2/ERF[space]domain[space]containing[space]protein",6,3.56,6,8,1,9,4,6,1,2,NA,NA,NA,NA,2,2,NA,7,NA,NA,NA,NA
"80","CTYZ_00000091","Ctyz_8","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","CTYZ_00000092","Ctyz_8","CDS",NA,1,0,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","CTYZ_00000093","Ctyz_8","CDS","26S[space]proteasome[space]subunit[space]P45/AAA+[space]ATpase",1.5,0.71,1,NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","CTYZ_00000094","Ctyz_8","CDS",NA,1,0,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","CTYZ_00000095","Ctyz_8","CDS","Coatomer[space]protein[space]complex[space]subunit[space]alpha",3.25,0.96,4,4,3,2,2,4,3,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"85","CTYZ_00000096","Ctyz_8","CDS","DNA[space]dependent[space]DNA[space]polymerase[space]alpha[space]subunit[comma][space]inactive[space]calcineurin[space]like[space]phosphatase[space]subunit",3,0,3,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","CTYZ_00000097","Ctyz_8","CDS",NA,2.33,0.58,NA,2,2,3,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","CTYZ_00000098","Ctyz_8","CDS","CobW/HypB/UreG[space]nucleotide-binding[space]domain-containing[space]hydrolase",1.5,0.58,2,1,2,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","CTYZ_00000099","Ctyz_8","CDS","U3[space]small[space]nucleolar[space]RNA-associated[space]protein[space]6",1.75,0.5,2,2,2,1,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","CTYZ_00000100","Ctyz_8","CDS","Pep3/Vps18/deep[space]orange[space]vacuolar[space]protein",3,1,2,4,NA,3,2,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","CTYZ_00000101","Ctyz_8","CDS","UDP-glucose[space]6-dehydrogenase",1.5,0.71,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"91","CTYZ_00000102","Ctyz_8","CDS","Zinc[space]finger[comma][space]RING/FYVE/PHD-type[space]domain[space]containing[space]protein",1,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","CTYZ_00000104","Ctyz_8","CDS","Clathrin[space]coat[space]assembly[space]protein[space]AP50",1,0,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","CTYZ_00000105","Ctyz_8","CDS","Uncharacterized[space]protein",2.33,1.15,3,1,NA,3,3,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","CTYZ_00000106","Ctyz_8","CDS","VPS13[space]like[space]protein[space]involved[space]in[space]vacuolar[space]protein[space]trafficking",7,4.83,6,14,5,3,6,14,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","CTYZ_00000107","Ctyz_8","CDS","hypothetical[space]protein",1.75,0.5,2,2,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2
"96","CTYZ_00000108","Ctyz_8","CDS","Uncharacterized[space]protein",2.75,1.26,4,3,1,3,4,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","CTYZ_00000109","Ctyz_8","CDS","Uncharacterized[space]protein",1.33,0.58,2,1,NA,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","CTYZ_00000110","Ctyz_8","CDS","Rad21/Rec8-like",2.33,1.15,3,3,1,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","CTYZ_00000111","Ctyz_8","CDS",NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","CTYZ_00000112","Ctyz_8","CDS","Glycyl-tRNA[space]synthetase",2.5,0.58,2,3,3,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","CTYZ_00000113","Ctyz_8","CDS",NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","CTYZ_00000114","Ctyz_8","CDS","Uncharacterized[space]protein",2.67,2.89,6,1,1,NA,4,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"103","CTYZ_00000115","Ctyz_8","CDS","H/ACA[space]ribonucleoprotein[space]complex[space]subunit[space]Gar1/Naf1",1.67,0.58,1,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"104","CTYZ_00000117","Ctyz_8","CDS","STXBP/UNC-18/SEC1[space]syntaxin[space]involved[space]in[space]golgi[space]transport",2,0,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"105","CTYZ_00000119","Ctyz_8","CDS","NRAP[space]like[space]nucleolar[space]RNA[space]associated[space]protein",2.75,1.26,4,3,3,1,4,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","CTYZ_00000120","Ctyz_8","CDS","ER[space]lumen[space]protein-retaining[space]receptor",1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","CTYZ_00000121","Ctyz_8","CDS","ER[space]lumen[space]protein-retaining[space]receptor",2.5,0.71,3,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"108","CTYZ_00000122","Ctyz_8","CDS","HBS1[space]eRFS[space]GTpase[space](RNA[space]metabolism[space]translation)",3.75,1.89,5,4,1,5,4,3,1,5,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"109","CTYZ_00000123","Ctyz_8","CDS","CRAL-TRIO[space]lipid[space]biding/Sec14d[space]domain[space]containing[space]protein",1.75,0.5,2,2,1,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","CTYZ_00000124","Ctyz_8","CDS","Cytidyltransferase-like[space]domain[space]containing[space]protein",2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"111","CTYZ_00000125","Ctyz_8","CDS","putative[space]Secreted[space]Protein",8.25,8.18,1,18,2,12,1,15,2,8,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,1
"112","CTYZ_00000126","Ctyz_8","CDS","Amino[space]acid[space]permease[space]like[space]integral[space]membrane[space]protein[comma][space]signal[space]peptide[space]plus[space]11[space]transmembrane[space]domain",3,0,3,3,NA,3,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","CTYZ_00000127","Ctyz_8","CDS","Coronin",2.33,1.15,1,3,NA,3,1,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","CTYZ_00000128","Ctyz_8","CDS","Uncharacterized[space]protein",1,0,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","CTYZ_00000129","Ctyz_8","CDS","E3A[space]like[space]HECT[space]domain[space]containing[space]ubiquitin[space]protein[space]ligase",4,2.94,2,6,1,7,2,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","CTYZ_00000130","Ctyz_8","CDS","Adenine[space]nucleotide[space]translocator[space]1/Mitochondrial[space]carrier[space]protein",1.5,0.58,1,2,2,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","CTYZ_00000131","Ctyz_8","CDS","Alpha/Beta[space]hydrolase[space]fold[space]containing[space]protein",1,0,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","CTYZ_00000132","Ctyz_8","CDS","Serine/Threonine[space]protein[space]kinase",2.5,0.58,2,2,3,3,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","CTYZ_00000133","Ctyz_8","CDS","DNA[space]polymerase[space]epsilon[space]catalytic[space]subunit",11.5,7.19,8,10,6,22,6,7,6,14,NA,NA,NA,NA,2,1,NA,4,NA,2,NA,4
"120","CTYZ_00000134","Ctyz_8","CDS","Sec23/Sec24",5.5,3.7,10,6,1,5,6,6,1,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
"121","CTYZ_00000136","Ctyz_8","CDS","Clathrin[space]heavy[space]chain",4.5,1.73,5,6,2,5,4,4,2,5,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA
"122","CTYZ_00000139","Ctyz_8","CDS","RecF/RecN/SMC[space]protein[space]5",2.25,1.26,2,1,2,4,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"123","CTYZ_00000140","Ctyz_8","CDS","Uncharacterized[space]protein",1.33,0.58,1,2,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"124","CTYZ_00000141","Ctyz_8","CDS","Calpain[space]like[space]thiol[space]protease",3.25,2.5,2,7,2,2,2,7,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","CTYZ_00000142","Ctyz_8","CDS","Uncharacterized[space]protein",7,1.41,9,6,6,7,9,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","CTYZ_00000143","Ctyz_8","CDS","Uncharacterized[space]protein",3.5,3.11,3,2,1,8,2,NA,NA,2,NA,NA,NA,NA,1,1,NA,5,NA,1,1,1
"127","CTYZ_00000144","Ctyz_8","CDS","Uncharacterized[space]protein",29,13.39,19,39,16,42,14,32,15,28,NA,NA,NA,NA,NA,3,NA,11,5,4,1,3
"128","CTYZ_00000145","Ctyz_8","CDS","Spo11/DNA[space]topoisomerase[space]6[space]subunit[space]A",1,0,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","CTYZ_00000146","Ctyz_8","CDS",NA,1,0,NA,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","CTYZ_00000147","Ctyz_8","CDS","GDP-fucose[space]transporter[space]with[space]9[space]transmembrane[space]domains",3.33,1.53,5,2,NA,3,5,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
